struct     (Line: 1, Char: 1)
", "       (Line: 25, Char: 37)
+          (Line: 25, Char: 42)
pt1        (Line: 25, Char: 44)
.          (Line: 25, Char: 47)
y          (Line: 25, Char: 48)
+          (Line: 25, Char: 50)
")"        (Line: 25, Char: 52)
)          (Line: 25, Char: 55)
move       (Line: 26, Char: 5)
(          (Line: 26, Char: 9)
pt1        (Line: 26, Char: 10)
,          (Line: 26, Char: 13)
5          (Line: 26, Char: 15)
,          (Line: 26, Char: 16)
-          (Line: 26, Char: 18)
5          (Line: 26, Char: 19)
)          (Line: 26, Char: 20)
pt1        (Line: 27, Char: 5)
.          (Line: 27, Char: 8)
x          (Line: 27, Char: 9)
++         (Line: 27, Char: 10)
pt1        (Line: 28, Char: 5)
.          (Line: 28, Char: 8)
y          (Line: 28, Char: 9)
--         (Line: 28, Char: 10)
if         (Line: 29, Char: 5)
(          (Line: 29, Char: 8)
isEqual    (Line: 29, Char: 9)
(          (Line: 29, Char: 16)
pt1        (Line: 29, Char: 17)
,          (Line: 29, Char: 20)
pt2        (Line: 29, Char: 22)
)          (Line: 29, Char: 25)
)          (Line: 29, Char: 26)
{          (Line: 29, Char: 28)
disp       (Line: 30, Char: 9)
(          (Line: 30, Char: 13)
"Points are equal." (Line: 30, Char: 14)
)          (Line: 30, Char: 33)
}          (Line: 31, Char: 5)
else       (Line: 31, Char: 7)
{          (Line: 31, Char: 12)
disp       (Line: 32, Char: 9)
(          (Line: 32, Char: 13)
"Points are not equal." (Line: 32, Char: 14)
)          (Line: 32, Char: 37)
}          (Line: 33, Char: 5)
while      (Line: 35, Char: 5)
(          (Line: 35, Char: 11)
pt1        (Line: 35, Char: 12)
.          (Line: 35, Char: 15)
x          (Line: 35, Char: 16)
<          (Line: 35, Char: 18)
30         (Line: 35, Char: 20)
)          (Line: 35, Char: 22)
{          (Line: 35, Char: 24)
pt1        (Line: 36, Char: 9)
.          (Line: 36, Char: 12)
x          (Line: 36, Char: 13)
=          (Line: 36, Char: 15)
pt1        (Line: 36, Char: 17)
.          (Line: 36, Char: 20)
x          (Line: 36, Char: 21)
+          (Line: 36, Char: 23)
1          (Line: 36, Char: 25)
}          (Line: 37, Char: 5)
integer    (Line: 39, Char: 5)
array      (Line: 39, Char: 13)
[          (Line: 39, Char: 18)
3          (Line: 39, Char: 19)
]          (Line: 39, Char: 20)
array      (Line: 40, Char: 5)
[          (Line: 40, Char: 10)
0          (Line: 40, Char: 11)
]          (Line: 40, Char: 12)
=          (Line: 40, Char: 14)
100        (Line: 40, Char: 16)
array      (Line: 41, Char: 5)
[          (Line: 41, Char: 10)
1          (Line: 41, Char: 11)
]          (Line: 41, Char: 12)
=          (Line: 41, Char: 14)
array      (Line: 41, Char: 16)
[          (Line: 41, Char: 21)
0          (Line: 41, Char: 22)
]          (Line: 41, Char: 23)
/          (Line: 41, Char: 25)
2          (Line: 41, Char: 27)
array      (Line: 42, Char: 5)
[          (Line: 42, Char: 10)
2          (Line: 42, Char: 11)
]          (Line: 42, Char: 12)
=          (Line: 42, Char: 14)
array      (Line: 42, Char: 16)
[          (Line: 42, Char: 21)
1          (Line: 42, Char: 22)
]          (Line: 42, Char: 23)
*          (Line: 42, Char: 25)
3          (Line: 42, Char: 27)
disp       (Line: 44, Char: 5)
(          (Line: 44, Char: 9)
"Final point: (" (Line: 44, Char: 10)
+          (Line: 44, Char: 27)
pt1        (Line: 44, Char: 29)
.          (Line: 44, Char: 32)
x          (Line: 44, Char: 33)
+          (Line: 44, Char: 35)
", "       (Line: 44, Char: 37)
+          (Line: 44, Char: 42)
pt1        (Line: 44, Char: 44)
.          (Line: 44, Char: 47)
y          (Line: 44, Char: 48)
+          (Line: 44, Char: 50)
")"        (Line: 44, Char: 52)
)          (Line: 44, Char: 55)
input      (Line: 45, Char: 5)
}          (Line: 46, Char: 1)
input      (Line: 48, Char: 1)
->         (Line: 48, Char: 7)
<-         (Line: 48, Char: 10)
++         (Line: 48, Char: 13)
--         (Line: 48, Char: 16)
+          (Line: 48, Char: 19)
-          (Line: 48, Char: 21)
*          (Line: 48, Char: 23)
/          (Line: 48, Char: 25)
^          (Line: 48, Char: 27)
&          (Line: 48, Char: 29)
|          (Line: 48, Char: 31)
==         (Line: 48, Char: 33)
^=         (Line: 48, Char: 36)
<          (Line: 48, Char: 39)
>          (Line: 48, Char: 41)
<=         (Line: 48, Char: 43)
>=         (Line: 48, Char: 46)
=          (Line: 48, Char: 49)
